date,year,outbreak
1/05/1934,1934.3333,2
30/08/1934,1934.6666,3
1/01/1935,1934.9999,5
1/05/1935,1935.3332,5
30/08/1935,1935.6665,4
1/01/1936,1935.9998,3
30/04/1936,1936.3331,2
29/08/1936,1936.6664,1
31/12/1936,1936.9997,2
30/04/1937,1937.333,4
29/08/1937,1937.6663,4
31/12/1937,1937.9996,4
30/04/1938,1938.3329,3
29/08/1938,1938.6662,3
31/12/1938,1938.9995,3
30/04/1939,1939.3328,1
29/08/1939,1939.6661,2
31/12/1939,1939.9994,4
29/04/1940,1940.3327,3
28/08/1940,1940.666,3
30/12/1940,1940.9993,1
29/04/1941,1941.3326,1
28/08/1941,1941.6659,1
30/12/1941,1941.9992,1
29/04/1942,1942.3325,0
28/08/1942,1942.6658,1
30/12/1942,1942.9991,2
29/04/1943,1943.3324,3
28/08/1943,1943.6657,2
30/12/1943,1943.999,2
28/04/1944,1944.3323,1
27/08/1944,1944.6656,1
29/12/1944,1944.9989,1
28/04/1945,1945.3322,0
27/08/1945,1945.6655,1
29/12/1945,1945.9988,1
28/04/1946,1946.3321,2
27/08/1946,1946.6654,3
29/12/1946,1946.9987,4
28/04/1947,1947.332,1
27/08/1947,1947.6653,2
29/12/1947,1947.9986,4
27/04/1948,1948.3319,4
26/08/1948,1948.6652,3
28/12/1948,1948.9985,1
27/04/1949,1949.3318,0
26/08/1949,1949.6651,1
28/12/1949,1949.9984,2
27/04/1950,1950.3317,3
26/08/1950,1950.665,4
28/12/1950,1950.9983,4
27/04/1951,1951.3316,2
26/08/1951,1951.6649,1
28/12/1951,1951.9982,0
26/04/1952,1952.3315,0
25/08/1952,1952.6648,1
27/12/1952,1952.9981,0
26/04/1953,1953.3314,2
25/08/1953,1953.6647,4
27/12/1953,1953.998,5
26/04/1954,1954.3313,4
25/08/1954,1954.6646,4
27/12/1954,1954.9979,3
26/04/1955,1955.3312,3
25/08/1955,1955.6645,5
27/12/1955,1955.9978,5
25/04/1956,1956.3311,2
24/08/1956,1956.6644,1
26/12/1956,1956.9977,1
25/04/1957,1957.331,0
24/08/1957,1957.6643,1
26/12/1957,1957.9976,1
25/04/1958,1958.3309,0
24/08/1958,1958.6642,0
26/12/1958,1958.9975,2
25/04/1959,1959.3308,3
24/08/1959,1959.6641,3
26/12/1959,1959.9974,3
24/04/1960,1960.3307,1
23/08/1960,1960.664,1
25/12/1960,1960.9973,1
24/04/1961,1961.3306,2
23/08/1961,1961.6639,1
25/12/1961,1961.9972,2
24/04/1962,1962.3305,2
23/08/1962,1962.6638,2
25/12/1962,1962.9971,0
24/04/1963,1963.3304,1
23/08/1963,1963.6637,2
25/12/1963,1963.997,3
23/04/1964,1964.3303,2
22/08/1964,1964.6636,1
24/12/1964,1964.9969,2
23/04/1965,1965.3302,1
22/08/1965,1965.6635,0
24/12/1965,1965.9968,0
23/04/1966,1966.3301,1
22/08/1966,1966.6634,2
24/12/1966,1966.9967,2
23/04/1967,1967.33,2
22/08/1967,1967.6633,0
24/12/1967,1967.9966,0
22/04/1968,1968.3299,1
21/08/1968,1968.6632,2
23/12/1968,1968.9965,3
22/04/1969,1969.3298,1
21/08/1969,1969.6631,1
23/12/1969,1969.9964,2
22/04/1970,1970.3297,3
21/08/1970,1970.663,0
23/12/1970,1970.9963,1
22/04/1971,1971.3296,2
21/08/1971,1971.6629,1
23/12/1971,1971.9962,2
21/04/1972,1972.3295,3
20/08/1972,1972.6628,3
22/12/1972,1972.9961,3
21/04/1973,1973.3294,5
20/08/1973,1973.6627,5
22/12/1973,1973.996,5
21/04/1974,1974.3293,3
20/08/1974,1974.6626,3
22/12/1974,1974.9959,1
21/04/1975,1975.3292,0
20/08/1975,1975.6625,0
22/12/1975,1975.9958,1
20/04/1976,1976.3291,2
19/08/1976,1976.6624,3
21/12/1976,1976.9957,3
20/04/1977,1977.329,4
19/08/1977,1977.6623,3
21/12/1977,1977.9956,2
20/04/1978,1978.3289,1
19/08/1978,1978.6622,2
21/12/1978,1978.9955,3
20/04/1979,1979.3288,5
19/08/1979,1979.6621,5
21/12/1979,1979.9954,1
19/04/1980,1980.3287,2
18/08/1980,1980.662,1
20/12/1980,1980.9953,0
19/04/1981,1981.3286,1
18/08/1981,1981.6619,2
20/12/1981,1981.9952,3
19/04/1982,1982.3285,3
18/08/1982,1982.6618,2
20/12/1982,1982.9951,0
19/04/1983,1983.3284,1
18/08/1983,1983.6617,1
20/12/1983,1983.995,2
18/04/1984,1984.3283,3
17/08/1984,1984.6616,5
19/12/1984,1984.9949,3
18/04/1985,1985.3282,1
17/08/1985,1985.6615,0
19/12/1985,1985.9948,0
18/04/1986,1986.3281,1
17/08/1986,1986.6614,1
19/12/1986,1986.9947,3
18/04/1987,1987.328,3
17/08/1987,1987.6613,4
19/12/1987,1987.9946,2
17/04/1988,1988.3279,1
