"","long","lat","freq"
"450",148.5,-31,740
"449",148,-31,696
"373",148,-32,671
"864",146.5,-25.5,607
"361",142,-32,598
"902",146.5,-25,585
"1012",144.5,-23.5,564
"521",146,-30,563
"1011",144,-23.5,557
"704",142.5,-27.5,547
"820",143.5,-26,547
"857",143,-25.5,542
"411",148,-31.5,526
"525",148,-30,513
"668",143.5,-28,496
"972",143.5,-24,494
"705",143,-27.5,458
"410",147.5,-31.5,452
"360",141.5,-32,436
"487",148,-30.5,436
"488",148.5,-30.5,432
"551",142,-29.5,420
"218",146.5,-34,418
"938",145.5,-24.5,413
"567",150,-29.5,412
"254",145.5,-33.5,407
"564",148.5,-29.5,405
"782",143.5,-26.5,404
"895",143,-25,404
"826",146.5,-26,399
"603",149,-29,394
"101",145,-35.5,392
"792",148.5,-26.5,392
"741",142,-27,391
"439",143,-31,387
"589",142,-29,382
"528",149.5,-30,381
"901",146,-25,379
"604",149.5,-29,371
"783",144,-26.5,370
"856",142.5,-25.5,369
"402",143.5,-31.5,368
"743",143,-27,366
"180",146.5,-34.5,361
"678",148.5,-28,360
"627",142,-28.5,359
"522",146.5,-30,356
"409",147,-31.5,354
"974",144.5,-24,352
"1050",144.5,-23,352
"1049",144,-23,351
"448",147.5,-31,350
"703",142,-27.5,350
"784",144.5,-26.5,350
"640",148.5,-28.5,349
"513",142,-30,348
"1088",144.5,-22.5,348
"398",141.5,-31.5,347
"324",142.5,-32.5,346
"1094",147.5,-22.5,346
"142",146.5,-35,342
"1084",142.5,-22.5,339
"854",141.5,-25.5,338
"515",143,-30,337
"520",145.5,-30,336
"600",147.5,-29,336
"863",146,-25.5,330
"812",139.5,-26,328
"412",148.5,-31.5,327
"475",142,-30.5,326
"934",143.5,-24.5,326
"973",144,-24,325
"334",147.5,-32.5,320
"937",145,-24.5,315
"103",146,-35.5,314
"485",147,-30.5,313
"853",141,-25.5,309
"1057",148,-23,309
"1051",145,-23,308
"177",145,-34.5,307
"478",143.5,-30.5,307
"554",143.5,-29.5,307
"559",146,-29.5,306
"755",149,-27,305
"215",145,-34,304
"255",146,-33.5,304
"566",149.5,-29.5,301
"1086",143.5,-22.5,301
"814",140.5,-26,300
"401",143,-31.5,295
"601",148,-29,293
"1041",140,-23,293
"666",142.5,-28,291
"936",144.5,-24.5,291
"749",146,-27,290
"711",146,-27.5,288
"565",149,-29.5,287
"141",146,-35,286
"523",147,-30,284
"437",142,-31,283
"855",142,-25.5,283
"935",144,-24.5,281
"372",147.5,-32,279
"793",149,-26.5,279
"1042",140.5,-23,278
"477",143,-30.5,277
"527",149,-30,276
"701",141,-27.5,276
"780",142.5,-26.5,276
"781",143,-26.5,276
"791",148,-26.5,276
"787",146,-26.5,275
"139",145,-35,274
"325",143,-32.5,274
"216",145.5,-34,271
"662",140.5,-28,269
"256",146.5,-33.5,267
"815",141,-26,267
"777",141,-26.5,266
"568",150.5,-29.5,265
"290",144.5,-33,263
"669",144,-28,262
"896",143.5,-25,261
"295",147,-33,260
"561",147,-29.5,260
"606",150.5,-29,259
"739",141,-27,259
"288",143.5,-33,257
"746",144.5,-27,257
"253",145,-33.5,256
"976",145.5,-24,256
"102",145.5,-35.5,254
"489",149,-30.5,253
"927",140,-24.5,253
"891",141,-25,252
"217",146,-34,251
"673",146,-28,251
"850",139.5,-25.5,250
"1085",143,-22.5,250
"371",147,-32,248
"859",144,-25.5,247
"933",143,-24.5,246
"1132",147.5,-22,246
"562",147.5,-29.5,243
"830",148.5,-26,243
"296",147.5,-33,242
"100",144.5,-35.5,241
"440",143.5,-31,239
"897",144,-25,239
"553",143,-29.5,238
"643",150,-28.5,237
"181",147,-34.5,236
"1013",145,-23.5,235
"374",148.5,-32,232
"248",142.5,-33.5,230
"563",148,-29.5,225
"629",143,-28.5,225
"318",139.5,-32.5,224
"104",146.5,-35.5,222
"286",142.5,-33,222
"825",146,-26,220
"719",150,-27.5,219
"209",142,-34,218
"335",148,-32.5,218
"776",140.5,-26.5,218
"642",149.5,-28.5,217
"1004",140.5,-23.5,216
"526",148.5,-30,215
"641",149,-28.5,215
